Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2021-11-28;37,00;20,18;0,00;17,94;21,30;40,00;20,00;0,00;0,00;0,00;51,80;22,20;0,00;0,00;0,00;0,00;0,00;0,00;27,13;0,00;0,00
2021-12-05;34,00;27,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,62;0,00;0,00;0,00;0,00;75,85;0,00;0,00;36,52;0,00;0,00
2021-12-12;42,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;36,75;55,13;28,88;0,00;0,00;0,00;0,00;23,63;0,00;75,35;0,00;0,00
2021-12-19;34,00;21,53;0,00;0,00;0,00;25,00;0,00;0,00;0,00;34,00;75,85;88,92;0,00;0,00;0,00;73,23;0,00;0,00;25,50;32,79;0,00
2021-12-26;0,00;42,00;0,00;0,00;0,00;0,00;0,00;27,00;23,00;0,00;34,00;9,00;0,00;0,00;0,00;27,00;0,00;0,00;36,00;39,00;25,00
2022-01-02;0,00;39,00;26,00;0,00;0,00;35,00;26,00;0,00;0,00;0,00;52,00;54,00;0,00;27,00;0,00;42,00;0,00;0,00;36,00;0,00;21,00
2022-01-09;0,00;30,00;0,00;0,00;0,00;0,00;0,00;33,00;50,00;0,00;37,00;49,00;0,00;0,00;0,00;25,00;19,00;0,00;51,00;29,00;30,00
2022-01-16;0,00;65,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;21,00;46,00;0,00;0,00;0,00;35,00;15,00;0,00;66,00;14,00;0,00
2022-01-23;0,00;40,00;26,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;43,00;29,00;7,00;0,00;0,00;39,00;8,00;0,00;42,00;0,00;13,00
2022-01-30;19,00;15,44;0,00;23,75;19,00;0,00;0,00;15,00;0,00;0,00;65,14;51,57;0,00;0,00;0,00;127,57;89,57;0,00;59,53;22,80;0,00
2022-02-06;35,00;112,90;0,00;0,00;0,00;41,00;0,00;0,00;0,00;0,00;72,50;35,00;0,00;0,00;0,00;86,15;26,92;0,00;37,41;24,14;0,00
2022-02-13;17,00;63,47;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;123,86;99,57;0,00;0,00;0,00;116,17;0,00;0,00;54,64;51,00;0,00
2022-02-20;15,00;18,46;0,00;24,23;0,00;0,00;0,00;18,00;0,00;75,00;112,50;100,00;0,00;0,00;0,00;80,00;27,50;0,00;58,75;0,00;0,00
2022-02-27;32,00;64,00;27,59;0,00;0,00;0,00;0,00;0,00;46,00;0,00;108,31;96,00;0,00;0,00;0,00;40,00;18,67;39,38;44,31;0,00;0,00
2022-03-06;17,00;38,53;0,00;0,00;0,00;29,00;0,00;42,00;0,00;17,00;89,86;153,00;0,00;17,00;0,00;102,00;0,00;0,00;21,86;0,00;0,00
2022-03-13;15,00;26,79;19,29;0,00;0,00;23,00;0,00;0,00;0,00;0,00;155,00;82,50;0,00;0,00;25,00;42,50;17,50;0,00;0,00;0,00;28,75
2022-03-20;44,00;56,41;34,97;0,00;0,00;0,00;28,00;0,00;0,00;0,00;142,35;106,12;18,12;0,00;0,00;103,53;0,00;23,22;64,78;25,67;12,22
2022-03-27;22,00;45,10;24,20;0,00;0,00;35,00;0,00;15,00;0,00;12,22;139,33;149,11;19,56;0,00;22,00;46,75;24,75;0,00;59,89;0,00;20,78
2022-04-03;51,00;40,80;49,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;147,90;132,60;0,00;34,89;0,00;107,37;10,74;0,00;41,29;35,21;0,00
2022-04-10;0,00;25,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;67,00;65,00;0,00;0,00;0,00;43,00;14,00;0,00;54,00;0,00;20,00
2022-04-17;0,00;48,00;14,00;0,00;0,00;53,00;0,00;0,00;17,00;0,00;66,00;65,00;0,00;0,00;0,00;46,00;10,00;0,00;61,00;0,00;16,00
2022-04-24;37,00;0,00;0,00;0,00;0,00;31,00;0,00;25,00;41,00;0,00;140,60;88,80;0,00;0,00;0,00;124,21;0,00;0,00;37,00;0,00;0,00
2022-05-01;0,00;37,00;26,00;0,00;0,00;0,00;21,00;14,00;17,00;18,00;78,00;51,00;0,00;5,00;0,00;64,00;0,00;19,00;55,00;0,00;12,00
2022-05-08;23,00;0,00;52,90;0,00;0,00;28,00;0,00;0,00;16,00;0,00;184,00;181,44;17,89;0,00;0,00;112,44;17,89;0,00;61,74;0,00;0,00
2022-05-15;57,00;64,98;0,00;0,00;0,00;35,00;0,00;0,00;0,00;0,00;165,82;147,68;0,00;0,00;0,00;132,14;0,00;0,00;50,80;17,35;0,00
2022-05-22;33,00;50,07;0,00;26,17;0,00;0,00;0,00;0,00;16,00;0,00;228,46;137,08;43,15;0,00;0,00;137,50;0,00;0,00;85,56;31,78;36,67
2022-05-29;29,00;19,72;0,00;0,00;13,92;43,00;0,00;15,00;46,00;0,00;179,27;168,73;0,00;23,73;0,00;110,73;47,45;13,87;88,26;0,00;30,26
2022-06-05;70,00;50,81;16,94;31,61;0,00;54,00;0,00;0,00;19,00;0,00;160,00;157,50;0,00;15,56;0,00;168,52;18,15;14,74;20,88;30,70;15,96
2022-06-12;48,00;69,71;60,57;0,00;0,00;25,00;0,00;0,00;17,00;25,26;179,37;186,95;0,00;34,67;0,00;168,00;0,00;0,00;56,62;16,00;0,00
2022-06-19;41,00;80,89;22,16;22,16;0,00;50,00;0,00;0,00;0,00;0,00;166,56;210,13;0,00;0,00;0,00;207,56;0,00;0,00;53,06;0,00;26,53
2022-06-26;39,00;0,00;18,35;0,00;16,06;56,00;0,00;0,00;0,00;23,40;122,20;127,40;0,00;0,00;0,00;184,60;15,60;0,00;57,28;0,00;0,00
2022-07-03;33,00;73,97;0,00;0,00;13,66;0,00;0,00;33,00;0,00;17,77;157,38;208,15;0,00;12,69;0,00;195,46;20,31;0,00;73,33;46,44;18,33
2022-07-10;47,00;78,33;15,67;0,00;0,00;16,00;0,00;0,00;33,00;0,00;210,26;158,32;0,00;0,00;88,78;195,83;31,33;0,00;105,13;0,00;29,68
2022-07-17;57,00;68,18;0,00;14,53;36,88;15,00;0,00;0,00;0,00;62,18;121,77;158,05;0,00;0,00;0,00;230,59;23,32;0,00;43,66;0,00;0,00
2022-07-24;59,00;51,06;51,06;34,04;0,00;0,00;0,00;0,00;0,00;0,00;192,39;120,57;0,00;24,14;32,18;147,50;42,91;0,00;74,98;38,10;0,00
2022-07-31;39,00;49,32;0,00;0,00;0,00;17,00;0,00;0,00;19,00;0,00;228,80;143,00;18,20;0,00;0,00;260,00;26,00;0,00;43,88;15,84;0,00
2022-08-07;71,00;53,82;45,81;0,00;0,00;73,00;0,00;0,00;0,00;0,00;182,57;147,07;48,18;0,00;0,00;226,15;68,37;0,00;66,10;28,16;0,00
2022-08-14;25,00;65,91;30,68;45,45;0,00;45,00;0,00;0,00;0,00;20,00;207,50;140,00;0,00;0,00;0,00;166,67;69,44;15,00;88,75;0,00;42,50
2022-08-21;0,00;30,00;22,00;0,00;22,00;35,00;0,00;0,00;0,00;0,00;58,00;49,00;8,00;0,00;0,00;75,00;0,00;0,00;62,00;0,00;0,00
2022-08-28;34,00;52,13;30,60;0,00;19,27;0,00;0,00;48,00;0,00;26,15;253,69;96,77;0,00;0,00;41,85;102,00;15,69;0,00;32,79;48,57;27,93
2022-09-04;0,00;0,00;28,00;0,00;19,00;14,00;25,00;0,00;0,00;6,00;39,00;41,00;0,00;0,00;0,00;39,00;6,00;0,00;44,00;20,00;17,00
